title,cluster,description,keywords
"Edmonton Road Projects (Planned, Current & Complete)",4,"A dataset of road projects in the design, current or completed stages of the project.","edmonton, city, developer, 's, data, dataset"
Operating Budget - Expenses,4,"Summary of the City of Edmonton's Financial Operating Budget by Fund Type, Department, Branch, and Program.

This dataset powers the Edmonton Open Budget site budget.edmonton.ca","edmonton, city, developer, 's, data, dataset"
Operating Budget - Revenues,4,"Summary of the City of Edmonton's Financial Operating Budget by Fund Type, Department, Branch, and Program.

This dataset powers the Revenues Module of the Edmonton Open Budget site budget.edmonton.ca","edmonton, city, developer, 's, data, dataset"
Edmonton Catholic Schools (2015 - 2016),1,List of all Catholic schools in Edmonton for the 2015 - 2016 school year. Note - some schools may not be offering all necessary grade years.,"list, edmonton, schools, fields, city, fields"
2015 Street Construction Projects,1,A list of special projects and major road construction sites planned for 2015.,"list, edmonton, schools, fields, city, fields"
Capital Budget - Details (coming soon),4,Capital Budget - Details (coming soon),"edmonton, city, developer, 's, data, dataset"
Capital Budget - Amounts (coming soon),4,Capital Budget - Amounts (coming soon),"edmonton, city, developer, 's, data, dataset"
Front Yards In Bloom Nominations - 2014-2015,4,"A list of nominations of individuals or groups that applied for the Front Yards in Bloom program.
Front Yards in Bloom is a partnership of the Edmonton Horticultural Society, the Canadian Union of Postal Workers, and the City of Edmonton.","edmonton, city, developer, 's, data, dataset"
FOIP Requests,4,"A dataset of all FOIP requests received by the City of Edmonton, and details relating to each.","edmonton, city, developer, 's, data, dataset"
Front Yards In Bloom Awards,4,"All addresses that received Awards as part of the Front Yards in Bloom program.
Front Yards in Bloom is a partnership of the Edmonton Horticultural Society, the Canadian Union of Postal Workers, and the City of Edmonton.
Front Yards in Bloom congratulates private landscapes that make the whole city more beautiful.","edmonton, city, developer, 's, data, dataset"
Winter City Design - Edmonton Insight Community,2,"This was one single topic among many as part of the September 2015 Mixed Topic survey. Test link to view these questions: https://www.edmontoninsightcommunity.ca/R.aspx?a=526&as=7YW63mx6N7&t=1. Open from September 08 - 16, 2015. At the time the survey was launched survey invitations were sent to 3516 Insight Community Members. 1477 members completed the survey which represents a completion rate of 42%. A total of 1637 respondents completed the survey: 1477 Insight Community Members and 160 using the anonymous link which will have no demographic info.","survey, members, completed, insight, insight, community"
