title,cluster,description,keywords
Approved_City_Plan_Commission_Minutes_09-01-15,3,Approved_City_Plan_Commission_Minutes_09-01-15,"downgrade, lists, april, presentation, public, group"
Approved_City_Plan_Commission_Minutes_08-04-15,3,Approved_City_Plan_Commission_Minutes_08-04-15,"downgrade, lists, april, presentation, public, group"
Approved_City_Plan_Commission_Minutes_07-21-15,3,Approved_City_Plan_Commission_Minutes_07-21-15,"downgrade, lists, april, presentation, public, group"
Approved_City_Plan_Commission_Minutes_07-07-15,3,Approved_City_Plan_Commission_Minutes_07-07-15,"downgrade, lists, april, presentation, public, group"
"Police Dept Take- Home Vehicles Scope Statement November 17, 2015",33,"How does the Kansas City, Missouri Police Department’s take-home vehicle program impact its allocation of vehicle resources?","city, kansas, kansas, city, kansas, missouri"
12th And Mc Gee Lot 1 Map,30,12th And Mc Gee Lot 1 Map,"map, use, land, census, developer, plan"
12th And Mc Gee Lot 2 Map,30,12th And Mc Gee Lot 2 Map,"map, use, land, census, developer, plan"
12th And Grand Corner Map,30,12th And Grand Corner Map,"map, use, land, census, developer, plan"
02 BASE PLAN 2014p,6,02 BASE PLAN 2014p,"plan, developer, focus, city, neighborhood, street"
Mentor- Protege Guidelines And Application,18,Mentor- Protege Guidelines And Application,"application, program, street, plan, commission, city"
Mentor- Protege Program,3,Mentor- Protege Program,"downgrade, lists, april, presentation, public, group"
19 ANNEX R DEBRIS MANAGEMENT 2015 Public,3,19 ANNEX R DEBRIS MANAGEMENT 2015 Public,"downgrade, lists, april, presentation, public, group"
18 ANNEX Q EMERGENCY PET SERVICES 2015 Public,3,18 ANNEX Q EMERGENCY PET SERVICES 2015 Public,"downgrade, lists, april, presentation, public, group"
Board_of_Zoning_Adjustment_Results_11-10-15,3,Board_of_Zoning_Adjustment_Results_11-10-15,"downgrade, lists, april, presentation, public, group"
Attachment B - Urban Design Guidles For Developer Proposals,3,Attachment B - Urban Design Guidles For Developer Proposals,"downgrade, lists, april, presentation, public, group"
Attachment A - Existing Master Plan Of Beacon Hill,6,Attachment A - Existing Master Plan Of Beacon Hill,"plan, developer, focus, city, neighborhood, street"
Request For Qualifications And Proposals For The Three Corners At 27th & Troost,33,"The Land Clearance for Redevelopment Authority (LCRA) of Kansas City, Missouri, in partnership with the Beacon Hill Developers, L.C. (BHD), and City of Kansas City, Missouri (City), seeks a sub-developer(s) for a high quality, mixed-income, single family and townhome and/or mixed use residential/commercial project in the Beacon Hill Redevelopment Area, specifically the three corners of 27th and Troost. The boundary extends from Troost Avenue
to Forest Avenue, from 26th Street to 27th Street and including the southeast, southwest and northeast corners of 27th and Troost Avenue. The site plan information is shown in Attachment A - Existing Master Plan of Beacon Hill, and Attachment B - Urban Design Guidelines for Developer Proposals.

The purpose of this RFP/Q is to select a qualified sub-developer(s) with proven experience, financial resources, and professional expertise to develop, market, and sell/rent high-quality, residential and commercial land uses, in support of a dynamic, diverse community in the Hospital Hill and Beacon Hill area. Each responding proposal can address any of the three corners within the project area independently or respond to the project in its entirety.

The selection process will be a single review and award process by a Selection Committee consisting of representatives from the Master Developer (BHD), City, EDC/LCRA staff, and neighborhood stakeholders, with the selected firm(s) subject to a development agreement with specific benchmarks according to design standards approved by the Neighborhood Design Review Committee, and in conformance with the 353 Plan. The Beacon Hill Design Guidelines and land use plans are provided on the website: http://beaconhillkansascity.com/.

Upon selection, the LCRA (as the project owner), assisted by BHD, will enter into negotiations for the sale and development with the selected sub-developer(s). The selected sub-developer(s) will enter into a Development Agreement with LCRA that includes the real estate sales or transfers. This solicitation is being made to all interested and qualified developers.","city, kansas, kansas, city, kansas, missouri"
Application For Traffic Control Permit,24,Application for Traffic Control Permit,"permit, buildings, new, application, construction, required"
Board_of_Zoning_Adjustment_Approved_Minutes_of_9-22-15,3,Board_of_Zoning_Adjustment_Approved_Minutes_of_9-22-15,"downgrade, lists, april, presentation, public, group"
Municipal Court Case Clearance Rate,33,"This datasets contains performance metrics related to the case clearance rate for the municipal court of Kansas City on a quarterly basis. Quarters are set to the City's fiscal year, May-April.","city, kansas, kansas, city, kansas, missouri"
"Land Bank of Kansas City Monitoring Practices Scope Statement November 10, 2015",31,The scope of this audit is to answer whether Land Bank's monitoring processes ensure compliance with contracts and other agreements?,"process, master, developer, land, program, permit"
NIBRS - Annual Data for Open Performance,34,This data set contains manual roll-ups for the data contained here: https://data.kcmo.org/dataset/Kansas-City-Crime-NIBRS-Summary/6wc4-sd7p. This data set only exist due to technical limitations within the Socrata platform. You can view automatic roll-ups of the data by viewing this data set: https://data.kcmo.org/dataset/Kansas-City-Crime-NIBRS-Summary-Fiscal-Year-Totals/g5bh-874g,"data, traffic, st, traffic, census, city"
Traffic Citation Volume,34,This spreadsheet contains traffic citation volume data,"data, traffic, st, traffic, census, city"
CALENDAR 2016 H,3,Payroll calendar with holidays 2016,"downgrade, lists, april, presentation, public, group"
Summary Of Goals And Objectives 2015-2020,6,This table summarizes the goals and objectives of the citywide 2015-2020 business plan. It is used to power the display of the documents objectives in the relevant KCSTAT sections.,"plan, developer, focus, city, neighborhood, street"
Property Violations,3,Property Violations,"downgrade, lists, april, presentation, public, group"
HRD Certifications Processed FY2015-16 (thru October 2015),31,HRD Certifications Processed FY2015-16 (thru October 2015),"process, master, developer, land, program, permit"
HRD Days To Process CUPs And Goals FY2015-16 (thru October 2015),31,HRD Days To Process CUPs And Goals FY2015-16 (thru October 2015),"process, master, developer, land, program, permit"
HRD Contract Compliance Prevailing Wage Payrolls Audited FY2015-16 (thru October 2015),0,HRD Contract Compliance Prevailing Wage Payrolls Audited FY2015-16 (thru October 2015),"audit, audit, focus, city, 's, management"
HRD Average Days To Process Certifications FY2015-16 (thru October 2015),31,HRD Average Days To Process Certifications FY2015-16 (thru October 2015),"process, master, developer, land, program, permit"
HRD Contract Compliance Prevailing Wage Performance Indicators FY2015-16 (thru October 2015),3,HRD Contract Compliance Prevailing Wage Performance Indicators FY2015-16 (thru October 2015),"downgrade, lists, april, presentation, public, group"
2015 Code For America Summit Main Stage Lightening Talk A New Standard For Community Engagement Julie Steenson,33,Presentation from 2015 Code for America Summit by Julie Steenson on how Kansas City uses survey data to drive operations.  Video of this session can be found at: https://youtu.be/16ik6Td7iyQ.,"city, kansas, kansas, city, kansas, missouri"
2015 Code For America Summit Breakout Session Putting Citizen Surveys To Work Julie Steenson,33,Presentation given by Julie Steenson at the 2015 Code for America Summit on how Kansas City uses citizen survey data to make decisions about city operations.,"city, kansas, kansas, city, kansas, missouri"
Application For Administrative Approval,18,Application For Administrative Approval,"application, program, street, plan, commission, city"
KCMO.GOV Website Visit Data,34,"This dataset contains basic data for each page on kcmo.gov. The data is monthly aggregate data and contains every page on the kcmo.gov domain.

This data is pulled directly from Google Analytics into R via the RGoogleAnalytics package (https://github.com/Tatvic/RGoogleAnalytics). The data is then manipulated to change variable names (column headers) and to assign a row ID and sort them in the order page title > Year Month.","data, traffic, st, traffic, census, city"
Kansas City Parcels,33,Analytical and graphical representation of parcels within the City.  Includes condos and caves.,"city, kansas, kansas, city, kansas, missouri"
Kansas City Crime (NIBRS) Summary,34,"In response to law enforcement’s need for more flexible, in-depth data, the Uniform Crime Reports (UCR) Program formulated the National Incident-Based Reporting System (NIBRS). NIBRS presents comprehensive, detailed information about crime incidents to law enforcement, researchers, governmental planners, students of crime, and the general public. A NIBRS fact sheet, written by the FBI can be found at http://www.fbi.gov/about-us/cjis/ucr/frequently-asked-questions/nibrs_faqs. 

This data set contains Group A Offenses for the entire City. Please visit http://www.fbi.gov/about-us/cjis/ucr/nibrs to learn more about NIBRS. The ""Data Collection Guidelines"" outlines how this data is structured and provides the exact definitions and methodology behind this data set.","data, traffic, st, traffic, census, city"
Board_of_Zoning_Results_10-27-15,3,Board_of_Zoning_Results_10-27-15,"downgrade, lists, april, presentation, public, group"
City Auditor's Monthly Status Report November 2015,3,Our work in progress for November 2015.,"downgrade, lists, april, presentation, public, group"
Fs62975,15,Fact sheet for proposed traffic sign changes submitted for public review on 110315,"proposals, sign, traffic, review, change, april"
I62976,15,Proposed traffic sign installations submitted for public review on 110315,"proposals, sign, traffic, review, change, april"
R62975,15,Proposed traffic sign removals submitted for public review 120315,"proposals, sign, traffic, review, change, april"
Fitch Upgrade Of US Bank 10.5.15 And Series 2009 A Bonds 10.6.15,27,Voluntary Disclosure of Rating Upgrade by Fitch- US Bank and Series 2009A Bonds,"bonds, notice, defeasance, water, master, downgrade"
Brush Creek- Blue River Conceptual Restoration Plan Memo 2015-04-10,6,A conceptual ecosystem restoration plan and cost estimates for Blue River confluence including western half of Municipal Farm,"plan, developer, focus, city, neighborhood, street"
Blue River Greenways Ecosystem Preliminary Restoration Plan,29,Ecosystem restoration study for Blue River covering western half of Municipal Farm.  Prepared in partnership with U.S. Army Corps of Engineers and KCMO Water Services Department,"kcmo, census, data, reports, map, department’s"
Sep 2015,16,September 2015 Financial Report,"reports, assessments, neighborhood, construction, annual, work"
20151029 Peer Review ALGA,0,"This is an audit from our peers for the period September 1, 2012 through August 31, 2015.","audit, audit, focus, city, 's, management"
20151029 Public Private Partnership: KC Streetcar Highlights,0,This audit was conducted in order to determine whether the tri-party agreement governing KC Streetcar protects the city's interests.,"audit, audit, focus, city, 's, management"
Application To City Plan Commission,18,Application To City Plan Commission,"application, program, street, plan, commission, city"
3rd Party Testing Laboratory Quality Managment Plan,6,3rd Party Testing Laboratory Quality Managment Plan,"plan, developer, focus, city, neighborhood, street"
Board of Zoning Adjustment_Approved_Minutes_09-08-15,3,Board of Zoning Adjustment_Approved_Minutes_09-08-15,"downgrade, lists, april, presentation, public, group"
Old Crime Lab Map,30,Old Crime Lab Map,"map, use, land, census, developer, plan"
Police North Patrol Map,30,Police North Patrol Map,"map, use, land, census, developer, plan"
Pioneer Map,30,Pioneer Map,"map, use, land, census, developer, plan"
