title,cluster,description,keywords
Boundary Review Board meeting information,14,"King County Boundary Review Board calendar, meeting agendas and minutes","county, king, king, program, area, locations"
Food Establishment Inspection Data,7,"Health Department inspection results for food service establishments in King County,  2006 to the present. This data is organized by Business / Inspection Date / Violation. Each row in this dataset is an inspection, and if an inspection at a particular buiness results in multiple violations there will be multiple rows for that business with the same Inspection_Serial_Num. This dataset was last Updated on 11/16/2015 and is current from 1/1/2006 to 11/13/2015.","dataset, time, updated, date, change, data"
Employee Giving Statistics - 2015,2,Charitable contributions from King County employees,"employees, county, king, king, king, county"
EGP Nonprofits,2,List of nonprofits in the King County Employee Giving Program Annual Drive,"employees, county, king, king, king, county"
King County master calendar,10,Master calendar for King County events,"county, king, elections, calendar, master, king"
"Adult Jail Booking: Nov. 1, 2014 to Oct. 31, 2015 as of Nov. 6, 2015",7,"The Jail Bookings Open Data dataset is provided by the King County Department of Adult and Juvenile Detention. The dataset contains adult jail bookings which have occurred within the last twelve months; specific dates are indicated on the web site. 

The data provided is a snapshot and is current as of the date and time it was extracted from the jail management systems. Every effort has been made to ensure the accuracy of data listed at the time of extraction. Updates, corrections, and additions may have occurred since the extraction date and time. 

This dataset provides information associated with the booking of an individual into a King County jail facility, and not with any court cause, case, or criminal filing pursuant to the booking event. This information does not reflect the criminal history or criminal status of any inmate currently or previously in custody. 

Current information about a specific booking event can be obtained by calling the Department of Adult and Juvenile Detention at (206) 296-1234 or by visiting our Jail Inmate Lookup Service (JILS). http://ingress.kingcounty.gov/inmatelookup/","dataset, time, updated, date, change, data"
TESTING Elections - Canvassing Board - based on master calendar,10,TESTING Elections - Canvassing Board - based on master calendar,"county, king, elections, calendar, master, king"
"DATA King County Elections, Canvassing Board Schedule",10,Schedule for meetings of the King County Elections Canvassing Board:,"county, king, elections, calendar, master, king"
King County Flu Clinic Schedule 2015,7,"Please note!  Times, locations and dates are subject to change. We will keep up-to-date, but do look for signs at your worksite.","dataset, time, updated, date, change, data"
Pet Data - 2015 Adoptions,1,Pet Data - 2015 Adoptions,"pet, pet, data, officer, animal, service"
Employee Survey Response Rates,2,Employee Survey Response Rates,"employees, county, king, king, king, county"
Regional AFIS Program Community Events,10,Automated Fingerprint Identification System community events calendar,"county, king, elections, calendar, master, king"
ADR Calendar,14,Calendar of trainings and other events for the King County Alternative Dispute Resolution (ADR) program.,"county, king, king, program, area, locations"
Pet Data - 2015 Animal Control Officer Service Calls,1,Pet Data - 2015 Animal Control Officer Service Calls,"pet, pet, data, officer, animal, service"
Pet Data - 2015 Spay/Neuter Surgeries,1,Pet Data - 2015 Spay/Neuter Surgeries,"pet, pet, data, officer, animal, service"
Pet Data - 2015 Foster,1,Pet Data - 2015 Foster,"pet, pet, data, officer, animal, service"
Pet Data - 2015 Return to Owner,1,Pet Data - 2015 Return to Owner,"pet, pet, data, officer, animal, service"
